"","Disaster_Type","1980-1999","2000-2019","ROC","ROC2","total"
"1","BiologicalInvasions",133863396308.658,1074102023851.92,702.38665196817,8.0238665196817,1207965420160.58
"2","Drought",111369478042.196,132736385011.284,19.1856039416757,1.19185603941676,244105863053.48
"3","Earthquake",495325643319.358,644105264722.396,30.036729050814,1.30036729050814,1139430908041.75
"4","Extreme temperature",28630872987.0051,55912935726.2921,95.2889656968185,1.95288965696819,84543808713.2972
"5","Flood",462300990463.988,657939363829.663,42.3183980569288,1.42318398056929,1120240354293.65
"6","Insect infestation",184978252.09689,180356213.704994,-2.49869286767549,0.975013071323245,365334465.801884
"7","Landslide",12259704440.3454,5556844535.68638,-54.6739110822329,0.453260889177671,17816548976.0317
"8","Mass movement (dry)",2277766.043271,8887857.38431793,290.200627082599,3.90200627082599,11165623.4275889
"9","Storm",497538050747.145,1416055607486.13,184.612524682215,2.84612524682215,1913593658233.28
"10","Volcanic activity",7005627330.30096,2106585461.59101,-69.9300953038204,0.300699046961796,9112212791.89197
"11","Wildfire",43958463627.23,94218907526.5247,114.33621594582,2.1433621594582,138177371153.755
